Reach Name,Basin,Assessment Unit,Priority Actions,Reach Rank,Priority Species,Priority Life Stages,Unacceptable Limiting Factors,At-Risk Limiting Factors,Action Categories,Updated
Antoine 16-1,Okanogan,Antoine Creek-Lower,"Restore Reach Function, Address Limiting Factors",3,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Temperature- Rearing,Pool Quantity and Quality,Cover- Wood","Bank Stability,Channel Stability,Stability,Coarse Substrate,Coarse Substrate,PRCNT Fines and Embeddedness,Food- Food Web Resources","Bank Restoration, Channel Complexity Restoration, Channel Modification, Enhance Food Resources, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2060
Omak 16-1,Okanogan,Omak Creek-Lower US,"Restore Reach Function, Address Limiting Factors",3,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Temperature- Rearing,Pool Quantity and Quality","Coarse Substrate,Coarse Substrate","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2061
Omak 16-2,Okanogan,Omak Creek-Lower US,"Restore Reach Function, Address Limiting Factors",3,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Temperature- Rearing","Coarse Substrate,Coarse Substrate","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2062
Omak 16-6,Okanogan,Omak Creek-Lower US,"Restore Reach Function, Address Limiting Factors",3,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Temperature- Rearing","Coarse Substrate,Coarse Substrate,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2063
Salmon 16-11,Okanogan,Salmon Creek-Lower,Address Limiting Factors,3,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Temperature- Rearing",Coarse Substrate,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Upland Management, Water Quality Improvement",27.Jan.2064
Salmon 16-12,Okanogan,Salmon Creek-Lower,Address Limiting Factors,3,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Temperature- Rearing,Cover- Wood","Coarse Substrate,Pool Quantity and Quality,Food- Food Web Resources","Bank Restoration, Channel Complexity Restoration, Channel Modification, Enhance Food Resources, Fine Sediment Management, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2065
Salmon 16-9,Okanogan,Salmon Creek-Lower,"Restore Reach Function, Address Limiting Factors",3,Steelhead,"Adult Migration,Spawning and Incubation,Summer Rearing,Winter Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,PRCNT Fines and Embeddedness,Temperature- Rearing","Coarse Substrate,Cover- Wood,Coarse Substrate,Cover- Wood","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2066
Similkameen 16-4,Okanogan,Similkameen River,"Restore Reach Function, Address Limiting Factors",1,Steelhead,"Adult Migration,Summer Rearing","Coarse Substrate,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Pool Quantity and Quality,Temperature- Rearing,Coarse Substrate",No At-Risk Limiting Factors,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2067
Similkameen 16-5,Okanogan,Similkameen River,"Restore Reach Function, Address Limiting Factors",1,Steelhead,"Adult Migration,Summer Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Temperature- Rearing","Coarse Substrate,Coarse Substrate","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2068
Similkameen 16-2,Okanogan,Similkameen River,"Restore Reach Function, Address Limiting Factors",2,Steelhead,"Adult Migration,Summer Rearing","Coarse Substrate,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Temperature- Rearing,Pool Quantity and Quality,Coarse Substrate","Cover- Wood,Food- Food Web Resources,Cover- Wood","Channel Complexity Restoration, Channel Modification, Enhance Food Resources, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2069
Similkameen 16-3,Okanogan,Similkameen River,"Restore Reach Function, Address Limiting Factors",2,Steelhead,"Adult Migration,Summer Rearing","Bank Stability,Channel Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Temperature- Rearing,Cover- Wood","Coarse Substrate,Food- Food Web Resources,Coarse Substrate","Bank Restoration, Channel Complexity Restoration, Channel Modification, Enhance Food Resources, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2070
Similkameen 16-1,Okanogan,Similkameen River,"Restore Reach Function, Address Limiting Factors",3,Steelhead,"Adult Migration,Summer Rearing","Coarse Substrate,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing,Flow- Summer Base Flow,Temperature- Rearing,Coarse Substrate,Pool Quantity and Quality",No At-Risk Limiting Factors,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2071
Similkameen 16-6,Okanogan,Similkameen River,Address Limiting Factors,3,Steelhead,"Adult Migration,Summer Rearing","Flow- Summer Base Flow,Temperature- Rearing,Cover- Wood",Coarse Substrate,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2072
Etienne Creek 01,Wenatchee,Upper Peshastin Creek,Address Limiting Factors,Not Ranked,Bull Trout,BT Natal Rearing,Temperature- Rearing,No At-Risk Limiting Factors,Water Quality Improvement,27.Jan.2073
Etienne Creek 02,Wenatchee,Upper Peshastin Creek,Address Limiting Factors,Not Ranked,Bull Trout,BT Natal Rearing,Temperature- Rearing,"Cover- Wood,Floodplain Connectivity","Channel Complexity Restoration, Channel Modification, Riparian Restoration and Management, Water Quality Improvement",27.Jan.2074
Middle Shaser Creek 01,Wenatchee,Upper Peshastin Creek,Address Limiting Factors,Not Ranked,Bull Trout,BT Natal Rearing,Temperature- Rearing,"Cover- Wood,Floodplain Connectivity","Channel Complexity Restoration, Channel Modification, Riparian Restoration and Management, Water Quality Improvement",27.Jan.2075
