1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,17,18,,,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55.0,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141
Antoine Creek 05,Okanogan,Lower Antoine Creek,no,yes,no,,no,no,,,yes,0.793867517,1277.608481,,,1935.42242,Antoine Creek 05,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,15,NA,0,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Antoine Creek 06,Okanogan,Lower Antoine Creek,no,yes,no,,no,no,,,yes,0.611620001,984.308948,,,1493.139178,Antoine Creek 06,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,15,NA,0,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Bear Creek 01,Methow,Bear Creek,yes,yes,no,,no,no,,,no,0.217066156,349.3348137,,,525.940805,Bear Creek 01,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,15,"2,3,7,8-TCDD (Dioxin)",2,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Bear Creek 02,Methow,Bear Creek,no,no,no,,no,no,,,no,0.453383462,729.6514136,,,1099.010982,Bear Creek 02,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,15,NA,11,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Bear Creek 03,Methow,Bear Creek,no,no,no,,no,no,,,no,0.606912848,976.7335045,,,1471.573108,Bear Creek 03,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,14,NA,9,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Bear Creek 04,Methow,Bear Creek,no,no,no,,no,no,,,no,1.248428181,2009.15442,,,3028.347771,Bear Creek 04,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,14,NA,14,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Bear Creek 05,Methow,Bear Creek,no,no,no,,no,no,,,no,0.850435217,1368.645551,,,2063.170763,Bear Creek 05,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,14,NA,22,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Bear Creek 06,Methow,Bear Creek,no,no,no,,no,no,,,no,2.854224855,4593.438832,,,6932.140366,Bear Creek 06,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,12,NA,53,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
Beaver Creek 01,Wenatchee,Wenatchee River-Beaver Creek,yes,yes,no,review SPCH shoudls top at gradient break (adjust reach break),no,no,,,yes,1.011642748,1628.084442,,,2420.091774,Beaver Creek 01,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4C,NA,-3,13,NA,42,NA,NA,<Null>,NA,<Null>,<Null>,0,<Null>,4A,NA,
Beaver Creek 02,Wenatchee,Wenatchee River-Beaver Creek,no,yes,no,,no,no,2018,,yes,2.061703158,3317.996243,,,4932.586437,Beaver Creek 02,,,Upper Wenatchee Pilot Project Level 2 Surveys,"Beaver R7, Beaver R1",NA,NA,NA,NA,NA,NA,NA,Adequate,NA,NA,Unacceptable,NA,54.45,43.8,1.2,0.55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,45.0,NA,Unacceptable,NA,8.5,NA,NA,NA,7,NA,Unacceptable,NA,NA,42.75,NA,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adequate,NA,0,7,38,NA,55,NA,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,13,NA,53,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,1,NA,
Beaver Creek Lower 01,Methow,Lower Beaver Creek,yes,yes,yes,,yes,no,2017,,no,0.411671676,662.5226661,,,995.5154547,Beaver Creek Lower 01,,,Beaver Creek Reach Assessment,Reach 1,Beaver Creek,Beaver Creek Lower 01,single,0,0.4,14,NA,Adequate,NA,NA,Unacceptable,NA,NA,25,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.0,"Cobble (52%), gravel (25%) Substrate from pebble count survey near RM 0.3",Unacceptable,NA,30.4,NA,NA,NA,NA,NA,Unacceptable,NA,NA,27.9,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,NA,Unacceptable,NA,<50,NA,NA,NA,NA,NA,Unacceptable,NA,51.7% disconnected,Unacceptable,NA,"Armored (0.0%), eroding (44.6%)",Unacceptable,NA,NA,4C,NA,2,16,NA,0,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,5,NA,
Beaver Creek Lower 02,Methow,Lower Beaver Creek,yes,yes,yes,,yes,no,2017,,no,1.186818109,1910.002423,,,2874.12587,Beaver Creek Lower 02,,,Beaver Creek Reach Assessment,Reach 2,Beaver Creek,Beaver Creek Lower 02,multiple,0.4,3,15,NA,At Risk,NA,NA,Unacceptable,NA,NA,21,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.0,"Cobble (45%), gravel (21%) Substrate from pebble count survey near RM 2.6",Unacceptable,NA,6.4,NA,NA,NA,NA,NA,Unacceptable,NA,NA,10.6,NA,NA,NA,NA,NA,At Risk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,NA,Unacceptable,NA,<50,NA,NA,NA,NA,NA,At Risk,NA,39.8 % disconnected,At Risk,NA,"Armored (0.9%), eroding (3.8%)",Unacceptable,NA,NA,4C,NA,2,15,NA,2,6.502,24.31915,22.86678,16.1536,4.191783,91.73206,52.81405,12.93864,NA,NA,
Beaver Creek Lower 03,Methow,Lower Beaver Creek,yes,yes,yes,,yes,no,2017,,no,0.521307918,838.9654485,,,1262.211887,Beaver Creek Lower 03,,,Beaver Creek Reach Assessment,Reach 2,Beaver Creek,Beaver Creek Lower 03,multiple,0.4,3,15,NA,At Risk,NA,NA,Unacceptable,NA,NA,21,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.0,"Cobble (45%), gravel (21%) Substrate from pebble count survey near RM 2.6",Unacceptable,NA,6.4,NA,NA,NA,NA,NA,Unacceptable,NA,NA,10.6,NA,NA,NA,NA,NA,At Risk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unacceptable,NA,NA,NA,NA,Unacceptable,NA,<50,NA,NA,NA,NA,NA,At Risk,NA,39.8 % disconnected,At Risk,NA,"Armored (0.9%), eroding (3.8%)",Unacceptable,NA,NA,4C,NA,0,15,NA,9,NA,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,NA,NA,
